species,female_id,nest_id,Day.Obs.Started,Day.Obs.Ended,Days.Observed,nest_height_m,picture,nest_diameter_cm,nest_weight,cup_diameter_cm,cup_diameter_cm.1,lining_weight,lining_material,grasses_weight,twigs_weight,bark_leaves_weight,other_weight,other_material_notes,insects_present,female_id.1,nest_fate,failure_cause,attempt_number,territory,grid,plot,veg_code,veg_data,nest_description,clutch_date,hatch_date,fledge_fail_date
OCWA,AR/YY,04-088,NA,NA,NA,0.2,Y,10.7,13.05,3.6,2.5,3.46,Grass,4.41,4.79,3.51,0.34,"lichen, seed pods, insects",yes,AR/YY,Fledged,,3,,D.0-5,BRC2,,grass,in grass clump,,,
OCWA,AR/YY,05-055,3/30/2005,6/1/2005,63,4.5,Y,12.2,23.7,n/a,n/a,5.16,Grass,6.96,11.57,2.49,2.68,"Lichen, bird droppings, possible parasites","Yes, possible parasites?",AR/YY,Fledged,,NA,,F0,BRC2,,Querus,in top of tall querus,,,4/21/2005
OCWA,AW/BUW,04-080,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,AW/BUW,Fledged,,NA,,B4,BRC1,,grass,in grass clump with some maiden hair,,,4/30/2004
OCWA,AW/GBU,04-002,3/10/2004,5/5/2004,56,0,Y,9,14.47,4.9,1.2,3.29,Grass,8.36,1.03,4.07,1.01,"Lichen, seeds, cotton ""bud"", mouse droppings","Yes, woodlice, arachnids",AW/GBU,Fledged,,NA,,B4,BRC1,RHIN,lemonade berry,,,,
OCWA,AW/GBU,05-051,3/29/2005,4/8/2005,10,0,Y,8.2,8.84,n/a,n/a,3.54,Grass,3.99,1.73,2.2,0.92,"rocks, rodent droppings",no,AW/GBU,Failed,Predation,1,,B4,BRC1,TODI,TODI,in a hole in deiterus,,3/29/2005,
OCWA,AW/GBU,05-082,4/19/2005,5/10/2005,21,2,Y,12.5,16.88,3.9,2.2,5.78,Grass,9.13,1.51,3.48,2.76,"Flowers, possible parasites","Yes, possible parasites?",AW/GBU,Failed,,2,,B-4.5,BRC1,QUPA,QUPA,at eye level from upslope,,4/28/2005,
OCWA,AW/GBU,05-109,NA,NA,NA,0.5,Y,12.7,19.06,n/a,n/a,5.32,Grass,8.66,1.63,8.4,0.37,seed pods,no,AW/GBU,Fledged,,3,,B4,BRC1,TODI,TODI,5m south of 51 flag,,,
OCWA,AW/GO,04-005,3/12/2004,4/14/2004,33,0,Y,12,21.86,4,2.7,3.71,Grass,13.76,2.96,4.31,0.83,"lichen, cotton buds, rodent droppings, bird droppings, beetle carapace, roots","Yes, beetle carapace",AW/GO,Failed,Predation,1,,H.5-5,BRC1,,,"On ground, on side of gully by path",,,
OCWA,AW/GO,05-020,3/14/2005,3/27/2005,13,0,Y,9,6.29,n/a,n/a,5.07,Grass,0.33,0.86,0.39,4.71,"Mostly roots, lichen",,AW/GO,Failed,,NA,,H4,BRC1,,,In earth on sideof gulley,3/24/2005,,
OCWA,AW/OR,04-012,NA,NA,NA,0.5,Y,13.6,33.1,n/a,n/a,5.67,Grass,9.24,12.26,9.68,1.92,"Seeds and flowers, lichen, pillbugs and inchworm, unidentified droppings",yes,AW/OR,Fledged,,NA,,A3.5,BRC1,,Grass,In grass below an oak branch,,,
OCWA,AW/OR,05-026,NA,NA,NA,0.1,Y,7.7,12.07,n/a,n/a,5.85,Grass,8.13,1.08,1.81,1.05,"Lichen, seeds, ","yes, possible parasites",AW/OR,Fledged,,NA,,B3,BRC1,,grass,in grass clump surrounded by LB + vines (cucumber),3/19/2005,3/29/2005,4/7/2005
OCWA,AW/RBK,05-091,NA,NA,NA,0.3,Y,,NA,,,,,NA,NA,NA,NA,,,AW/RBK,Failed,Predation,2,,E1,BRC1,,horehound,on side of road where we park the car,,,
OCWA,AW/RW,04-020,3/23/2004,4/18/2004,26,0,Y,14.5,26.06,5.5,1.2,5.28,Bark,5.66,2.03,17.68,0.69,"misc. plant parts, lichen",no,AW/RW,Failed,Predation,1,,E3,BRC2,,,Base of toyon under big quercus,,,
OCWA,AW/RW,04-092,5/2/2004,5/15/2004,13,0,Y,11.5,16.62,n/a,n/a,2.68,Bark,0.94,1.49,12.83,1.36,"lichen, oak seeds, roots, snakeskin, feather",no,AW/RW,Failed,,2,,E.2-5,BRC2,,,in dead leaves at base of very small lemonade berry,,,
OCWA,AY/GO,04-050,4/4/2004,4/9/2004,5,2.5,Y,n/a,21.67,n/a,n/a,3.3,Grass,12.13,3.06,4.19,2.29,"moss, lichen, broken eggs",no,AY/GO,Failed,Abandoned,1,,WY3.5,BRC1,QUPA,QUPA,in an oak clump at eye level,,,
OCWA,AY/GO,04-067,NA,NA,NA,0.5,Y,9.9,25.92,4,1.9,6.28,Grass,10.94,10.83,3.92,0.23,"Lichen, bird droppings, possible parasites","yes, possible parasites?",AY/GO,Fledged,,2,,WX 3.5,BRC1,RHIN,RHIN,in low RHIN clump,,4/25/2004,
OCWA,AY/WR,05-042,3/25/2005,5/11/2005,47,1.7,Y,11.2,15.22,4,2.1,4.42,Grass,4.88,2.09,1.46,6.79,"Lichen, Millipede",Yes,AY/WR,Fledged,,NA,,I3.5,BRC1,QUPA,QUPA,next to the road,4/3/2005,,
OCWA,AY/YG,05-006,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,AY/YG,Fledged,,NA,,D4,BRC1,,,"93 degrees from D4, ~5m",3/21/2005,3/30/2005,
OCWA,BB,05-050,3/29/2005,3/31/2005,2,0,Y,7.8,10.46,n/a,n/a,4.09,Grass,4.72,1.41,3.5,0.83,"seed pods, wheat seeds, lichen",no,BB,Failed,Predation,1,,A5.5,BRC1,,ground,in ground on small slope with lots of miners lettuce,,,
OCWA,BB,05-078,NA,NA,NA,0.5,Y,9.7,18.68,4.2,0.4,5.5,Grass,7.37,2.59,6.75,1.97,"Lichen, oak seeds",no,BB,Failed,Predation,2,,A5.5,BRC1,HEAR,HEAR,in leafy debris next to large toyon trunk,,,
OCWA,BG/BA,05-324,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,BG/BA,Failed?,,NA,,Islay 7.0,SC1,CERC,cerc,,,5/2/2005,
OCWA,BKA/OG,05-073,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,BKA/OG,Fledged,,1,,C2.5,BRC1,,grass,on ground very concealed below RHIN branch,,,
OCWA,BKA/OW,05-059,NA,NA,NA,0.5,Y,8.7,23.1,3.8,2.4,9.03,Grass,10.69,3.32,8.22,0.87,"Lichen, seeds, roots",no,BKA/OW,Fledged,,1,,C5,BRC1,RHIN,RHIN,low in the middle of large thicket,,,4/6/2005
OCWA,BKA/OW,05-127,6/3/2005,6/8/2005,5,0,Y,n/a,13.96,n/a,n/a,2.96,Grass,9.15,0.41,3.72,0.68,"Roots, vines, feathers, seed pods",no,BKA/OW,Fledged?,,2,,~D3,BRC1,ADJO,ADJO,,,,
OCWA,BUA/GY,04-083,4/22/2004,5/1/2004,9,3,Y,n/a,22.25,n/a,n/a,4.46,Grass,13.68,5.8,2.77,0,no other materials,no,BUA/GY,Failed,,NA,,H.5-4,BRC1,,oak,,,,
OCWA,BUA/OG,05-128,NA,NA,NA,1.7,Y,,NA,,,,,NA,NA,NA,NA,,,BUA/OG,Failed,Predation?,NA,,A.5-2,BRC2,QUPA,QUPA,,,,
OCWA,BUA/OR,04-014,3/20/2004,5/5/2004,46,0,Y,11.2,15.7,4.1,1.5,2.34,Grass,3.83,1.12,5.57,5.18,"lots of lichen and moss, and lots of small insects",yes,BUA/OR,Fledged,,NA,,G-4.5,BRC1,,Ground,,,,
OCWA,BUA/OR,05-024,3/17/2005,5/4/2005,48,0,Y,12.1,21.63,n/a,n/a,3.05,Grass,3.75,3.61,4.47,9.8,"Lichen, misc plant parts",yes,BUA/OR,Fledged,,1,,F.5-3,BRC1,,maidenhair,2m north of old nest,,3/24/2005,4/10/2005
OCWA,BUA/OR,05-106,5/12/2005,6/5/2005,24,0,Y,11.2,16.1,3.1,2.7,3.65,Grass,4.26,2.86,7.61,1.37,"Lichen, roots",no,BUA/OR,Fledged?,,2,,F.5-3,BRC1,,grass,on left of trail,,,
OCWA,BUA/WBK,05-011,NA,NA,NA,1,Y,12.9,23.9,n/a,n/a,8.68,Grass,12.77,0.7,7.53,2.9,"roots, lichen, caterpillar carapace",yes,BUA/WBK,Failed,Predation,1,,A0,BRC2,RHIN,lemonade berry,down river from large oak,3/17/2005,,3/20/2005
OCWA,BUA/WBK,05-043,3/25/2005,5/1/2005,37,1.5,Y,12,33.29,4.1,n/a,7.84,Grass,8.74,9.4,11.4,3.75,Lichen,No,BUA/WBK,Fledged,,2,,A0,BRC2,BAPI,BAPI,,4/3/2005,4/15/2005,
OCWA,BUA/WBK,05-060,4/1/2005,4/19/2005,18,1.5,Y,14,24.55,n/a,n/a,8.19,Grass,14.08,0.25,8.85,1.37,"Insects, possible parasites, flowers","Yes, possible parasites?",BUA/WBK,Fledged,,3,,E.5-4,BRC1,RHUS,RHUS,in gulley in dense veg,,,
OCWA,BUA/WBK,05-117,NA,NA,NA,0.4,Y,12.1,36.01,3.5,n/a,6.24,Grass,6.69,7.48,12.61,9.23,"Lichen, roots",no,BUA/WBK,Fledged?,,4,,E5,BRC1,RHUS,RHUS,in dead leaves,,,
OCWA,BUA/WR,05-093,5/1/2005,6/7/2005,37,1.25,Y,12.9,13.1,n/a,n/a,3.9,Grass,8.86,0.76,2.89,0.59,"Lichen, roots/vines, feces, pillbugs",Yes,BUA/WR,Fledged?,,3,,A0,BRC2,BAPI,BAPI,"not far from 81, near oak limb",,,
OCWA,BUA/YBK,05-072,NA,NA,NA,0.1,Y,,NA,,,,,NA,NA,NA,NA,,,BUA/YBK,Failed,Predation - snake,NA,,E.5-0,BRC2,,j-grass,under downed branches under QUPA,,,
OCWA,BUA/YY,04-087,NA,NA,NA,2,Y,13.7,10.52,n/a,n/a,3.11,Grass,5.53,0.61,4.14,0.24,"lichen, seeds, bird droppings, insect carapace (earwig)",yes,BUA/YY,Fledged,,NA,,WY4,BRC1,QUPA,QUPA,,,,
OCWA,BUA/YY,05-123,NA,NA,NA,1.1,Y,11.1,11.3,4,n/a,4.32,Grass,8,0.78,1.18,1.34,"Lichen, millipede",yes,BUA/YY,Failed,Predation,NA,,WY4,BRC1,QUPA,QUPA,1m from grid point,,,
OCWA,BuBu/OA,06-421,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,BuBu/OA,Fledged,,NA,Sneak,A3,AP,,,,,6/21/2006,6/30/2006
OCWA,BUR/BKA,06-415,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,BUR/BKA,Failed,"Nest found ~6"" under water due to rising river",NA,Billie,A34,AP,, ,on bottom of dike,6/15/2006,,6/25/2006
OCWA,BUR/RA,05-303,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,BUR/RA,Fledged,,NA,,water tower,SC1,,fennel,3,,,3/30/2005
OCWA,CC,05-053,NA,NA,NA,1.2,Y,11.46,22.96,n/a,n/a,8.4,Grass,11.2,1.34,7.86,2.56,"misc plant parts, dirt, millipede",yes,CC,Failed,Predation,1,,J.2-2.5,BRC1,BAPI,coyote bush,,,,
OCWA,CC,05-089,NA,NA,NA,0.4,Y,12.7,21.15,n/a,n/a,6.95,Grass,8.48,4.99,6.05,1.63,"Seed pods, roots, beetle",yes,CC,Failed,Predation,2,,J3,BRC1,BAPI,Coyote bush,,,,5/24/2005
OCWA,EE,05-323,NA,NA,NA,0.25,Y,9,10.91,4.4,1.1,1.76,Grass,7.84,0.15,2.39,0.53,"millipedes, horsehair, feathers",yes,EE,Failed,Predation,1,,Islay 7.0,SC1,,,,,,
OCWA,EE,05-329,NA,NA,NA,0.25,Y,11.2,17.08,4.7,1.8,2.94,Grass,4.41,1.07,4.87,6.73,"seeds, misc plant parts",no,EE,Failed,,2,,Islay 7.0,SC1,BAPL,baccharus,,,,
OCWA,FF,04-004,NA,NA,NA,0.6,Y,n/a,22.01,4,2.3,5.25,Grass,12.67,0.79,8.52,0.03,"lichen, hair, feather",No,FF,Failed,Abandoned,1,,D.5-3,BRC1,QUPA,QUPA,In low QUPA clump at base of large trunk,,,
OCWA,FF,04-049,4/6/2004,5/3/2004,27,1.5,Y,n/a,24.03,n/a,n/a,5.16,Grass,17.12,0.26,6.57,0.08,lichen,no,FF,Fledged,,2,,E4 ,BRC1,RHIN,RHIN,very visible in RHIN clump,4/10/2004,4/22/2004,5/2/2004
OCWA,GA/BUG,04-095,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,GA/BUG,Failed,Predation,NA,,J2,BRC1,RHIN,RHIN,,,,
OCWA,GA/WBU,05-094,5/3/2005,6/8/2005,36,0,Y,7.5,18.06,n/a,n/a,5.11,Grass,6.68,2.06,9.18,0.14,"Roots, vines, feces",no,GA/WBU,Fledged,,1,,F0,BRC2,,grass,"in bank, under a grass roof, invisible",,,
OCWA,GA/WBU,05-133,NA,NA,NA,0.5,Y,14.2,44.75,4,n/a,6.68,Grass,10.38,8.12,21.28,4.97,Lichen,no,GA/WBU,Failed,Predation,2,,F0,BRC2,RHUS,RHUS,next to car,,,
OCWA,GG,04-009,3/18/2004,4/2/2004,15,4,Y,n/a,22.5,n/a,n/a,2.78,Grass,9.16,7.02,4.79,1.53,moss/lichen,no,GG,Failed,Abandoned?,1,,H-4.5,BRC1,,Quereus,Near top of quereus near gully,,,
OCWA,GW/BUA,06-406,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,GW/BUA,Fledged,,NA,Dizzy,A24,AP,,,,6/7/2006,6/18/2006,6/27/2006
OCWA,II,04-022,3/24/2004,3/30/2004,6,0,Y,n/a,28.35,n/a,n/a,1.88,Grass,4.56,1.51,16.15,6.13,hair and lichen,no,II,Failed,Predation,1,,E6,BRC1,,,"on side of deer path, under quercus",,,
OCWA,II,04-074,4/16/2004,5/20/2004,34,0,Y,8.7,17.18,3.2,0.7,2.6,Grass,2.67,2.09,11.8,0.62,"lichen, hair, feather",no,II,Failed,,2,,E5-5,BRC1,,,in dead leaves under lemonade berry,,,
OCWA,JJ,04-033,3/30/2004,4/18/2004,19,0,Y,14,15.91,3.8,2.4,4.63,Grass,11.35,1.72,2.36,0.48,"woodlice, lichen, seeds",yes,JJ,Failed,,1,,E3.5,BRC1,,,on side of large gully,,,
OCWA,JJ,04-091,NA,NA,NA,2,Y,12.7,16.54,4.6,2.4,6.69,Grass,10.21,2.93,2.34,1.06,"lichen, oak seeds",no,JJ,Failed,Abandoned,2,,E3,BRC1,BAPL,Baccarus,loose grass nest behind oak,,,
OCWA,KK,04-097,5/5/2004,5/18/2004,13,1.5,Y,12.3,11.06,n/a,n/a,3.23,Grass,8.97,1.87,0.07,0.15,"flowers, oak seeds",no,KK,Failed ,Predation,2,,WX.5-4,BRC1,,,,,5/16/2004,
OCWA,LL,05-013,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,LL,Failed,Predation,1,,C.5-1,BRC2,,oak,at base of shrub,3/20/2005,,
OCWA,O/BKR,04-081,NA,NA,NA,0.3,Y,,NA,,,,,NA,NA,NA,NA,,,O/BKR,Failed,Predation,2,,H.5-4,BRC1,RHIN,RHIN,,4/27/2004,,
OCWA,OA/BUG,05-015,3/12/2005,3/22/2005,10,1.5,Y,9.5,21.46,n/a,n/a,4.78,Grass,6.92,5.52,2.03,6.99,lots of lichen,no,OA/BUG,Failed,Predation,1,,A.5-0,BRC1,RHIN,RHIN,In rhin near edge of road,,,
OCWA,OA/BUG,05-062,NA,NA,NA,0.5,Y,9.2,16.96,n/a,n/a,16.72,Grass,9.44,5.09,1.75,0.68,lichen,no,OA/BUG,Failed,Predation,2,,B1.5,BRC1,SAME,Black Sage,"from flag: right side of sage clump, LB bush bahind sage",4/9/2005,4/21/2005,
OCWA,OA/OY,05-057,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,OA/OY,Failed,Abandoned,1,,G-0.5,BRC2,,grass / Poison oak,on edge of TODI patch,4/3/2005,,
OCWA,OR/WA,06-416,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,OR/WA,Failed,Predation,NA,Duke,A30,AP,,,,,6/14/2006,6/20/2006
OCWA,OY/WA,06-423,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,OY/WA,Failed,Predation,NA,Louie,A27,AP,,,,6/28/2006,7/9/2006,7/11/2006
OCWA,RA/BKBK,05-034,3/23/2005,4/10/2005,18,0,Y,8.1,4.03,n/a,n/a,2.08,Grass,3.88,0.05,0.06,0.04,"Wheat seeds, other seeds",no,RA/BKBK,Failed,abandoned,1,,A.5-4,BRC1,,ground,in ground surrounded by grass and furbs,,,
OCWA,RA/BKBK,05-071,NA,NA,NA,0.25,Y,8.4,8.14,4.5,2.4,3.41,Grass,7.6,0.14,0,0.4,"Lichen, seed pods",no,RA/BKBK,Failed,Abandoned,2,,A.5-4,BRC1,,grass,in freestanding grass clump,4/18/2005,,
OCWA,RA/BKBK,05-096,NA,NA,NA,0.5,Y,11.9,16.14,n/a,n/a,2.88,Grass,8.53,0,1.41,6.2,lots of lichen,no,RA/BKBK,Failed,,3,,A5.-4,BRC1,,J-grass,in johnran grass ~2m west of large toyon,,5/11/2005,
OCWA,RA/BUG,04-017,3/21/2004,4/2/2004,12,0,Y,10.5,7.45,3.4,1.6,3.56,Grass,5.14,0.61,1.65,0.05,"egg fragments, arachnid egg case, lichen","no, arachnid egg case",RA/BUG,Failed,Predation,1,,F4,BRC1,,,"Under quercus, on slope",,,
OCWA,RA/BUG,05-118,5/25/2005,6/5/2005,11,1.5,Y,10.7,14.66,n/a,n/a,4.08,Bark,0.49,0.24,13.93,0,None,No,RA/BUG,Failed,Predation,2,,F.5-3,BRC1,BAPL,Baccharus,Close to old nest,,,
OCWA,RA/GBK,05-104,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,RA/GBK,Failed,,2,,I.5-3,BRC1,,honeysuckle,,,,
OCWA,RBK/YA,07-311,3/30/2007,4/11/2007,12,0,Y,12.2,11.82,4.7,n/a,4.33,Grass,7.84,0.08,3.47,0.43,"Insect exoskeleton, lichen",yes,RBK/YA,Failed,Predated,1,Wigam,C3.5,CPC,,bunchgrass,in bunchgrass at base of monkeyflower,,,4/11/2007
OCWA,RBK/YA,07-317,4/14/2007,5/19/2007,35,0,Y,9.7,8.23,n/a,n/a,2.83,Grass,5.14,0,2.53,0.56,"dust, rodent and bird feces",no,RBK/YA,Fledged,,2,Wigam,C3.5,CPC,,bunchgrass,in middle of bunchgrass,4/19/2007,5/1/2007,5/11/2007
OCWA,RBU/GA,06-417,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,RBU/GA,Fledged,,NA,Rocky,A3,AP,,,edge of road under willow,,6/14/2006,6/23/2006
OCWA,RR/AR,05-320,NA,NA,NA,0.35,Y,,NA,,,,,NA,NA,NA,NA,,,RR/AR,Failed,,NA,,Islay 3,SC1,,oak,,,,
OCWA,RW/BKA,05-319,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,RW/BKA,Failed,Abandoned,NA,,Islay 2,SC1,,Rubus,,,,4/21/2005
OCWA,WA/GG,04-045,NA,NA,NA,1,Y,n/a,42.4,n/a,n/a,1.64,Grass,2.73,0.29,36.74,2.64,"horsehair, misc plant parts",no,WA/GG,Failed,Predation,NA,,J3,BRC1,BAPI,BAPI,on coyote brush,,,
OCWA,WA/GG,05-037,NA,NA,NA,0.6,Y,13.7,34.71,5.2,3.4,7.28,Grass,8.34,9.63,14.81,1.93,"Cacti skins, roots, lichen",no,WA/GG,Fledged,,1,,J2.5,BRC1,RHIN,RHIN,in middle of RHIN clump,,,
OCWA,WA/GY,04-078,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,WA/GY,Failed,Predation,NA,,E.5-0,BRC2,TODI,,in poison oak,,,
OCWA,WA/OO,04-008,3/17/2004,4/10/2004,24,0,Y,10.5,9.1,3.6,2.1,3.77,Grass,5.62,0.2,3.21,0.07,"rodent droppings, woodlice?","yes, maybe woodlice",WA/OO,Failed,Predation,1,,A4,BRC1,,maidenhair,,3/29/2004,,
OCWA,WA/OO,04-093,5/3/2004,5/5/2004,2,0,Y,9.2,5.72,n/a,n/a,1.56,Grass,3.56,1.26,0.71,0.19,"Lichen, oak seeds",no,WA/OO,Failed,,2,,WZ.5-4,BRC1,,ground,,,,
OCWA,YA/BUW,05-048,3/29/2005,4/15/2005,17,3,Y,9.8,9.68,3,n/a,3.48,Grass,5.08,1.4,2.29,0.91,Lichen and roots,No,YA/BUW,Failed,Abandoned?,1,,E3,BRC1,,QUERUS,on other side of gulley,,,
